content_type,creator_category,account_type,has_call_to_action,description_length,hashtags,followers,account_age_months,historical_avg_views,historical_engagement_rate,posting_hour,day_of_week,expected_views,expected_engagement_rate,performance_score,performance_category
image,Fashion,creator,0,118,5,2937,14.8,934,3.95,5,Saturday,1523,3.77,40.9,Medium
carousel,Photography,brand,1,43,6,200,14.6,75,2.3,15,Monday,465,5.82,39.6,Medium
reel,Beauty,brand,1,86,3,13209,0.0,1560,7.09,12,Tuesday,3544,7.6,78.5,High
reel,Music,creator,1,142,4,55703,23.9,4595,2.41,0,Thursday,18957,4.2,74.1,High
carousel,Lifestyle,brand,0,126,7,2743,22.0,317,2.8,5,Saturday,789,2.99,21.9,Low
carousel,Comedy,creator,1,91,10,7856,3.7,2351,4.27,3,Thursday,5063,4.91,69.8,High
carousel,Beauty,brand,0,127,4,14958,3.0,4860,3.9,23,Wednesday,5594,4.29,65.0,Medium
reel,Food,brand,0,198,8,571019,0.0,194553,5.21,5,Saturday,237877,4.65,82.9,High
image,Comedy,brand,1,93,3,35827,18.0,4402,2.37,2,Friday,4403,1.55,41.1,Medium
carousel,Music,brand,1,97,2,1483,10.6,568,5.56,1,Sunday,1158,5.19,49.0,Medium
image,Comedy,brand,0,144,5,5938,17.5,939,5.61,4,Saturday,994,5.13,45.6,Medium
image,Beauty,brand,1,108,5,14062,25.2,2266,6.14,14,Wednesday,2579,5.14,62.5,Medium
carousel,Photography,creator,0,174,7,366,16.1,78,1.17,16,Monday,513,4.25,27.4,Low
carousel,Music,brand,0,234,7,6327,10.1,1276,3.29,1,Monday,1250,3.89,38.4,Low
reel,Lifestyle,creator,1,133,8,34569,23.1,11040,3.64,14,Tuesday,30244,5.74,89.2,High
image,Fashion,creator,0,112,12,32489,18.3,1290,1.54,15,Sunday,3237,0.83,34.8,Low
image,Technology,brand,0,108,5,12429,7.5,802,0.23,15,Wednesday,1648,1.93,27.9,Low
carousel,Food,creator,0,57,7,8139,10.2,1083,0.32,18,Wednesday,2739,2.82,42.3,Medium
image,Music,creator,0,185,7,23839,0.0,3906,3.86,7,Friday,5076,3.82,59.6,Medium
image,Comedy,brand,0,170,8,4282,9.6,344,7.51,2,Tuesday,1317,5.44,53.1,Medium
reel,Fashion,brand,1,196,4,4960,8.5,2278,5.08,9,Tuesday,8493,6.14,84.0,High
image,Travel,creator,1,92,5,37193,19.3,7879,4.63,21,Thursday,11347,5.1,79.4,High
image,Food,brand,0,69,2,6711,10.2,908,4.63,2,Friday,1593,3.92,43.0,Medium
image,Photography,brand,0,24,9,1359,19.2,276,5.06,22,Saturday,811,6.27,49.4,Medium
carousel,Comedy,creator,0,158,4,263,22.0,65,6.31,4,Saturday,584,4.65,32.4,Low
carousel,Lifestyle,creator,1,105,5,26717,11.6,3343,1.83,20,Tuesday,7644,4.7,72.4,High
image,Beauty,brand,1,85,5,324,22.5,62,5.24,5,Wednesday,359,3.84,21.2,Low
carousel,Lifestyle,creator,0,98,4,9210,16.3,2063,6.33,1,Saturday,7100,5.15,75.7,High
reel,Lifestyle,brand,0,94,4,12898,28.2,4146,3.3,0,Friday,10541,3.78,66.6,Medium
carousel,Fitness,creator,1,85,8,12776,10.2,967,2.07,0,Thursday,2651,2.08,36.5,Low
carousel,Lifestyle,brand,1,148,7,43490,14.1,4106,7.6,21,Tuesday,8805,5.7,81.7,High
reel,Travel,creator,0,28,10,7252,14.0,523,0.21,9,Tuesday,1501,1.32,23.5,Low
reel,Lifestyle,brand,1,162,7,3940,,746,5.24,17,Friday,1164,5.02,47.7,Medium
reel,Fitness,brand,0,129,6,8532,23.9,799,4.02,3,Monday,1889,1.19,27.2,Low
image,Comedy,creator,0,40,7,14144,23.6,476,0.58,7,Monday,2785,0.34,31.7,Low
carousel,Fitness,creator,1,260,7,10333,11.9,737,0.1,11,Friday,1621,3.74,41.7,Medium
carousel,Food,creator,1,97,10,12587,27.3,1688,6.23,20,Wednesday,6416,5.21,75.1,High
reel,Beauty,brand,1,111,4,10944,15.9,228,1.62,10,Monday,1266,0.76,18.9,Low
carousel,Photography,creator,1,134,5,26456,10.4,5122,3.93,18,Sunday,13056,6.08,87.1,High
reel,Photography,creator,0,116,4,142298,0.0,38866,3.56,14,Tuesday,53063,4.05,76.0,High
reel,Technology,creator,1,137,3,404,12.3,113,5.32,8,Sunday,615,5.47,40.0,Medium
reel,Photography,creator,1,133,5,4235,23.4,2541,4.82,11,Friday,4516,5.39,72.2,High
image,Beauty,creator,0,143,7,358,6.8,110,5.65,11,Friday,632,5.71,42.1,Medium
reel,Comedy,creator,1,109,3,132782,16.3,16383,5.02,18,Sunday,58216,6.56,94.8,High
carousel,Beauty,brand,0,138,6,68328,20.0,15950,8.13,19,Thursday,30302,5.89,90.1,High
image,Comedy,creator,0,134,3,5099,9.8,368,7.77,0,Saturday,1298,5.85,55.8,Medium
reel,Lifestyle,creator,1,113,6,24615,14.2,4585,0.1,15,Tuesday,12925,2.44,56.7,Medium
carousel,Travel,creator,1,181,12,306,0.8,36,2.0,2,Wednesday,434,2.85,13.4,Low
carousel,Fitness,creator,1,78,3,16555,22.8,2502,1.95,5,Sunday,4265,1.82,42.0,Medium
image,Lifestyle,brand,0,68,6,12566,23.1,2393,4.16,12,Friday,2670,3.33,46.1,Medium
image,Fashion,creator,1,121,6,1011,8.3,96,3.03,20,Sunday,574,3.95,25.6,Low
image,Music,creator,1,141,2,50414,16.9,1403,2.96,5,Tuesday,5172,2.64,49.6,Medium
carousel,Food,creator,1,95,9,5307,8.2,383,4.95,12,Sunday,2088,4.8,56.0,Medium
image,Comedy,creator,0,171,9,3655,3.6,339,4.83,8,Saturday,1288,4.32,42.9,Medium
image,Beauty,brand,0,153,4,21619,14.0,4025,0.76,23,Saturday,4518,1.01,39.7,Medium
image,Food,creator,1,91,5,6527,17.2,198,3.58,19,Tuesday,1680,4.9,53.2,Medium
image,Fitness,brand,1,197,8,7368,7.8,507,3.81,2,Sunday,1015,3.75,33.2,Low
image,Fitness,creator,0,74,10,6018,21.7,1070,5.01,8,Thursday,2014,3.86,46.5,Medium
carousel,Technology,brand,0,111,5,16806,23.1,890,3.31,8,Wednesday,2209,1.11,29.6,Low
carousel,Technology,brand,0,72,4,13800,15.6,592,5.68,0,Tuesday,1197,2.57,26.3,Low
carousel,Comedy,brand,1,187,5,9341,20.9,1519,4.2,12,Wednesday,2642,3.45,47.0,Medium
reel,Travel,creator,1,60,4,10937,10.8,3548,4.13,15,Sunday,6033,6.76,83.1,High
reel,Fashion,brand,1,174,3,3560,16.9,770,4.16,5,Thursday,2903,2.03,37.7,Low
reel,Lifestyle,creator,1,79,6,20049,9.8,7237,2.07,19,Friday,12137,4.94,78.4,High
carousel,Travel,creator,0,194,3,46398,6.6,5506,3.33,4,Thursday,11247,0.92,48.7,Medium
carousel,Fitness,brand,1,154,8,200,14.2,30,3.86,11,Sunday,599,4.23,28.8,Low
reel,Fashion,creator,1,81,3,1567,12.8,455,4.85,23,Thursday,1404,5.85,57.3,Medium
image,Technology,brand,0,75,5,23805,2.4,2736,2.99,10,Wednesday,4482,1.4,40.8,Medium
image,Fashion,brand,1,144,8,1497,30.5,594,2.03,1,Thursday,530,4.41,29.1,Low
carousel,Comedy,creator,0,12,7,11472,26.5,1676,6.61,3,Thursday,2410,5.31,62.8,Medium
carousel,Travel,creator,1,200,9,19224,18.7,2380,4.68,14,Sunday,3963,3.19,50.6,Medium
carousel,Comedy,creator,1,151,9,4537,16.8,590,1.89,21,Monday,2063,2.0,32.1,Low
image,Fitness,creator,0,59,10,37017,1.5,10482,6.32,8,Tuesday,9407,5.38,79.9,High
image,Comedy,creator,1,138,10,9382,16.8,895,5.38,10,Thursday,2328,5.61,64.3,Medium
carousel,Lifestyle,brand,0,73,6,754,32.8,48,2.1,21,Wednesday,311,3.98,22.2,Low
image,Fashion,brand,0,125,5,13576,15.2,409,0.1,3,Friday,1415,0.29,20.4,Low
reel,Beauty,creator,0,96,6,20871,10.5,6448,4.66,5,Monday,9396,4.68,74.0,High
image,Comedy,creator,1,116,4,19378,12.3,2365,4.83,16,Tuesday,6396,7.91,86.2,High
image,Technology,brand,0,151,4,196686,20.3,63063,5.07,7,Monday,50022,5.09,85.7,High
image,Photography,creator,0,113,5,7946,19.9,1619,5.78,15,Sunday,2238,6.16,67.0,Medium
reel,Fitness,creator,1,95,9,141406,18.7,15110,2.98,20,Sunday,38320,4.07,75.4,High
reel,Beauty,creator,0,121,9,1881,25.5,228,5.11,7,Thursday,1335,2.3,26.3,Low
image,Fashion,creator,0,97,10,38126,0.0,5212,3.66,0,Sunday,6300,2.31,49.4,Medium
carousel,Comedy,creator,1,42,6,288,8.3,33,3.23,0,Wednesday,365,4.13,23.9,Low
reel,Music,creator,1,57,2,32463,7.5,1089,5.43,18,Sunday,6127,4.92,72.0,High
image,Comedy,brand,1,198,3,35115,10.1,2897,4.81,20,Saturday,5559,5.38,74.6,High
reel,Photography,creator,1,133,5,5988,10.6,874,1.85,19,Saturday,3946,3.62,54.5,Medium
carousel,Fitness,creator,0,106,8,363873,24.7,97986,2.64,6,Monday,217469,3.82,75.1,High
carousel,Music,brand,1,134,5,6199,3.4,3638,7.59,11,Saturday,3824,5.75,72.7,High
image,Food,brand,1,190,8,4506,11.3,2197,6.1,10,Friday,3980,5.97,74.6,High
carousel,Beauty,creator,1,70,2,1307,13.6,125,0.1,22,Thursday,597,1.36,7.5,Low
reel,Fitness,brand,1,130,5,14135,25.2,7660,6.16,18,Saturday,29925,7.77,96.2,High
image,Music,creator,0,38,8,40245,0.0,3896,4.14,22,Monday,8258,3.99,66.3,Medium
carousel,Fashion,brand,1,142,12,490,0.2,223,6.88,3,Sunday,597,4.97,35.7,Low
carousel,Music,brand,1,195,5,14336,20.8,1136,3.33,13,Wednesday,2809,4.64,59.2,Medium
image,Beauty,brand,0,136,7,42092,20.5,6415,2.43,20,Friday,11642,5.24,80.6,High
reel,Technology,brand,1,58,6,849,9.8,141,0.1,23,Tuesday,759,2.36,16.5,Low
reel,Beauty,brand,0,139,3,5792,5.7,1642,3.81,21,Monday,4124,5.02,68.2,Medium
reel,Technology,brand,0,94,1,18443,13.7,2840,2.54,9,Wednesday,3580,2.31,42.6,Medium
carousel,Photography,brand,0,107,6,85506,9.0,9586,2.21,0,Tuesday,12747,3.44,64.7,Medium
image,Food,brand,0,220,4,24317,8.3,5108,6.17,21,Friday,5952,6.99,83.7,High
image,Fashion,creator,0,129,2,701,6.2,196,5.17,21,Sunday,908,4.76,40.7,Medium
reel,Music,brand,1,119,5,12708,14.2,3174,2.78,18,Friday,8881,3.92,66.4,Medium
reel,Technology,creator,1,108,6,7311,26.2,1077,6.27,19,Tuesday,1983,4.94,56.4,Medium
image,Lifestyle,creator,0,189,4,117634,22.7,33201,4.17,17,Wednesday,40759,5.83,90.5,High
reel,Photography,creator,1,131,10,12836,30.5,1526,3.0,6,Friday,5471,2.44,48.7,Medium
carousel,Food,creator,1,66,1,473,21.0,30,4.32,0,Tuesday,852,3.75,30.0,Low
reel,Photography,brand,1,68,5,2272,11.2,192,4.69,11,Wednesday,1042,3.87,34.8,Low
reel,Lifestyle,creator,0,233,8,3924,21.6,335,4.23,8,Saturday,1084,2.71,25.5,Low
reel,Fitness,brand,0,63,8,44812,18.8,3968,2.09,14,Sunday,6140,2.71,52.1,Medium
image,Fashion,creator,0,195,4,2966,7.0,473,1.8,11,Saturday,621,3.73,24.6,Low
carousel,Lifestyle,creator,0,134,8,3913,22.3,1184,3.67,15,Monday,2347,4.84,58.3,Medium
carousel,Fashion,creator,0,98,6,22157,11.5,5034,0.1,1,Thursday,4181,1.48,40.2,Medium
image,Lifestyle,brand,0,117,10,2837,13.8,1092,8.87,12,Sunday,1697,7.92,67.2,Medium
image,Lifestyle,creator,0,143,4,5657,19.3,362,1.98,16,Friday,1195,3.6,34.9,Low
image,Technology,brand,1,85,6,2013,5.8,287,1.71,10,Sunday,990,4.91,43.6,Medium
carousel,Travel,creator,1,114,4,4834,21.3,358,3.7,1,Tuesday,732,3.77,27.6,Low
carousel,Technology,brand,0,94,6,2579,23.4,401,0.43,15,Wednesday,857,2.6,20.3,Low
carousel,Technology,creator,0,159,4,933,14.3,164,4.44,17,Tuesday,733,3.54,25.4,Low
reel,Technology,brand,0,93,6,7261,20.3,1564,1.66,23,Tuesday,4246,5.09,69.3,High
carousel,Beauty,creator,0,62,5,4170,11.5,748,2.9,19,Wednesday,1659,3.92,43.7,Medium
carousel,Fitness,creator,1,69,13,17550,10.7,1218,0.58,10,Tuesday,3196,2.62,43.2,Medium
reel,Fashion,creator,0,118,7,708,13.2,40,2.34,22,Tuesday,1239,5.16,50.0,Medium
carousel,Food,brand,0,233,3,1127,,30,5.69,12,Thursday,639,4.19,29.3,Low
carousel,Music,creator,1,58,4,23769,7.7,6723,3.65,9,Friday,9489,3.58,63.8,Medium
carousel,Photography,creator,1,163,5,50534,9.2,7531,2.0,2,Friday,15208,0.82,50.6,Medium
image,Travel,creator,0,199,5,21826,17.7,2666,5.01,9,Friday,2475,5.14,61.9,Medium
carousel,Beauty,creator,0,174,6,2950,7.3,481,3.81,5,Sunday,1593,2.5,30.8,Low
reel,Food,creator,0,152,8,12306,10.5,2933,6.9,16,Monday,12871,5.57,83.7,High
carousel,Fitness,creator,0,90,5,19502,14.0,7590,6.39,12,Friday,11159,6.94,89.4,High
reel,Music,creator,0,181,7,10593,13.7,2125,4.88,9,Friday,3520,4.67,62.9,Medium
image,Travel,brand,0,120,3,4921,13.9,579,1.11,16,Monday,962,2.59,22.3,Low
reel,Comedy,creator,1,124,6,12694,19.8,1586,4.8,11,Wednesday,7837,3.93,65.3,Medium
carousel,Fashion,brand,1,196,8,544,5.4,82,3.45,3,Wednesday,497,4.1,25.6,Low
image,Photography,brand,0,144,10,10964,18.7,2839,1.33,18,Saturday,3460,4.24,58.6,Medium
carousel,Photography,creator,0,103,8,8491,0.0,821,4.24,12,Friday,1857,3.66,43.3,Medium
